"","table_id","Line","Termini","Length","Type","Maximum speed","Opening","Status","country"
"95","15","HSL 1","LGV Nord–Bruxelles-Sud","88 km (55 mi)","New","300 km/h (190 mph)","1997","Operational","Belgium"
"96","15","HSL 2+line 36N","Leuven–Liège-Guillemins","66 km (41 mi)","New","300 km/h (190 mph)","2002","Operational","Belgium"
"97","15","HSL 2+line 36N","Leuven–Bruxelles-Nord","28.8 km (17.9 mi)","Partly new","200 km/h (120 mph)","2003–2006","Operational","Belgium"
"98","15","HSL 3","Liège-Guillemins–Cologne-Aachen","42 km (26 mi)","New","260 km/h (160 mph)","2009","Operational","Belgium"
"99","15","HSL 4","Antwerpen-Centraal–HSL Zuid","36 km (22 mi)","New","300 km/h (190 mph)","2009","Operational","Belgium"
"100","15","Belgian railway line 50A","Brussels–Denderleeuw; Gent–Brugge","57.9 km (36.0 mi)","Upgraded","200 km/h (120 mph)","TBD","Undergoing upgrade","Belgium"
"101","15","Diabolo project","N/A (connecting line)","3 km (1.9 mi)","Upgraded","200 km/h (120 mph)","TBD","Undergoing upgrade","Belgium"
"102","16","Line 001","Prague-Poříčany","30 km (19 mi)","Upgraded","320 km/h (200 mph)","TBD","Undergoing upgrade","Czech_Republic"
"103","16","Line 001","Přerov – Ostrava","25.594 km (15.903 mi)","Upgraded","320 km/h (200 mph)","TBD","Undergoing upgrade","Czech_Republic"
"104","16","Line 002","Brno-Vranovice","83.796 km (52.068 mi)","Upgraded","200 km/h (120 mph)","TBD","Undergoing upgrade","Czech_Republic"
"105","17","Øresund Line","Copenhagen Central–Swedish border","10 km (6.2 mi)[bz]","New","200 km/h (120 mph)","2000","Operational","Denmark"
"106","17","Copenhagen–Ringsted Line","Copenhagen central–Ringsted","60 km (37 mi)","New","200 km/h (120 mph)","2019","Operational","Denmark"
"107","17","Copenhagen–Fredericia/Taulov Line","Ringsted–Odense","96.4 km (59.9 mi)[bz]","New","200 km/h (120 mph)","2029","Undergoing upgrade","Denmark"
"108","17","Fehmarn Belt fixed link","Ringsted–Rødby","8.3 km (5.2 mi)[bz]","New","200 km/h (120 mph)","2028","Under construction","Denmark"
"109","17","Vestfyn Line","Odense–Middelfart","35 km (22 mi)[bz]","New","250 km/h (160 mph)","2028","Under construction","Denmark"
"110","18","Kerava–Lahti railway","Kerava–Lahti","75.7 km (47.0 mi)","New","220 km/h (140 mph)","2006","Operational","Finland"
"111","18","Rantarata","Helsinki central–Turku Harbour","63 km (39 mi)[ca]","Upgraded","200 km/h (120 mph)","1995","Operational","Finland"
"112","18","Helsinki–Riihimäki Railway","Helsinki central–Riihimäki","71.4 km (44.4 mi)","Upgraded","200 km/h (120 mph)","1995","Operational","Finland"
"113","18","Riihimäki–Tampere railway","Riihimäki–Tampere","116 km (72 mi)","Upgraded","200 km/h (120 mph)","1995","Operational","Finland"
"114","18","Tampere–Seinäjoki railway","Lielax–Seinäjoki","156 km (97 mi)","Upgraded","200 km/h (120 mph)","2008[48]","Operational","Finland"
"115","18","Oulu Main Line","Seinäjoki–Lapua","23 km (14 mi)","Upgraded","200 km/h (120 mph)","2017","Operational","Finland"
"116","18","Oulu Main Line","Lapua–Kokkola[49]","110 km (68 mi)","Upgraded","200 km/h (120 mph)","2011","Operational","Finland"
"117","18","Oulu Main Line","Kokkola–Ylivieska","79 km (49 mi)","Upgraded","200 km/h (120 mph)","2018","Operational","Finland"
"118","18","Oulu Main Line","Ylivieska–Liminka","123 km (76 mi)","Upgraded","200 km/h (120 mph)","2015[50]","Operational","Finland"
"119","18","Savonia railway","Kinni-Otava","45 km (28 mi)[cb]","Upgraded","200 km/h (120 mph)","2006[51]","Operational","Finland"
