"","name","round1","round2","round3","round4","round5","round6","year","seed","team.id","TEAM.NO"
"168","Purdue",0.957,0.787,0.589,0.188,0.074,0.033,2018,NA,NA,NA
"169","Radford",0.032,0.015,0.008,0.005,0.002,0.001,2018,NA,NA,NA
"170","San Diego State",0.337,0.061,0.014,0.005,0.002,0.001,2018,NA,NA,NA
"171","Seton Hall",0.48,0.056,0.027,0.007,0.003,0.001,2018,NA,NA,NA
"172","SF Austin",0.145,0.045,0.01,0.003,0.001,0.001,2018,NA,NA,NA
"173","South Dakota St",0.239,0.039,0.01,0.004,0.002,0.001,2018,NA,NA,NA
"174","St. Bonaventure",0.225,0.064,0.014,0.004,0.002,0.001,2018,NA,NA,NA
"175","Syracuse",0.292,0.045,0.014,0.006,0.003,0.002,2018,NA,NA,NA
"176","TCU",0.708,0.109,0.028,0.009,0.003,0.001,2018,NA,NA,NA
"177","Tennessee",0.906,0.643,0.276,0.055,0.022,0.009,2018,NA,NA,NA
"178","Texas",0.538,0.112,0.04,0.008,0.003,0.002,2018,NA,NA,NA
"179","Texas A&M",0.508,0.065,0.024,0.009,0.003,0.001,2018,NA,NA,NA
"180","Texas Southern",0.035,0.015,0.009,0.005,0.002,0.001,2018,NA,NA,NA
"181","Texas Tech",0.855,0.553,0.189,0.046,0.014,0.006,2018,NA,NA,NA
"182","UMBC",0.034,0.015,0.008,0.005,0.003,0.001,2018,NA,NA,NA
"183","UNC",0.959,0.854,0.554,0.344,0.157,0.069,2018,NA,NA,NA
"184","UNCG",0.075,0.026,0.008,0.003,0.001,0.001,2018,NA,NA,NA
"185","URI",0.506,0.073,0.021,0.008,0.003,0.001,2018,NA,NA,NA
"186","UVA",0.967,0.897,0.587,0.482,0.329,0.185,2018,NA,NA,NA
"187","Villanova",0.968,0.881,0.742,0.584,0.317,0.163,2018,NA,NA,NA
"188","Virginia Tech",0.507,0.047,0.021,0.009,0.003,0.002,2018,NA,NA,NA
"189","West Virginia",0.826,0.484,0.105,0.056,0.017,0.008,2018,NA,NA,NA
"190","Wichita State",0.865,0.434,0.078,0.038,0.012,0.005,2018,NA,NA,NA
"191","Wright State",0.094,0.028,0.007,0.003,0.001,0.001,2018,NA,NA,NA
"192","Xavier",0.965,0.815,0.476,0.216,0.082,0.035,2018,NA,NA,NA
"193","Abil Christian",0.073,0.027,0.008,0.003,0.001,0.001,2021,NA,NA,NA
"194","Alabama",0.94,0.754,0.471,0.21,0.06,0.028,2021,NA,NA,NA
"195","Arkansas",0.86,0.523,0.186,0.063,0.023,0.009,2021,NA,NA,NA
"196","Baylor",0.968,0.826,0.701,0.5,0.295,0.098,2021,NA,NA,NA
"197","BYU",0.658,0.19,0.064,0.02,0.005,0.003,2021,NA,NA,NA
"198","Clemson",0.607,0.116,0.04,0.012,0.004,0.002,2021,NA,NA,NA
"199","Cleveland State",0.051,0.021,0.011,0.003,0.002,0.001,2021,NA,NA,NA
"200","Colgate",0.14,0.048,0.015,0.005,0.002,0.001,2021,NA,NA,NA
"201","Colorado",0.541,0.206,0.052,0.02,0.005,0.002,2021,NA,NA,NA
"202","Creighton",0.752,0.309,0.035,0.014,0.006,0.003,2021,NA,NA,NA
"203","Drexel",0.035,0.016,0.009,0.006,0.003,0.002,2021,NA,NA,NA
"204","E Washington",0.071,0.024,0.007,0.003,0.001,0.001,2021,NA,NA,NA
"205","Florida",0.553,0.096,0.041,0.013,0.005,0.002,2021,NA,NA,NA
"206","FSU",0.904,0.607,0.189,0.083,0.02,0.008,2021,NA,NA,NA
"207","Georgetown",0.459,0.157,0.034,0.014,0.005,0.003,2021,NA,NA,NA
