"","BracketID","TotalPoints","Model","Year"
"432",32,35,"Linear PCA",2021
"433",33,26,"Linear PCA",2021
"434",34,33,"Linear PCA",2021
"435",35,28,"Linear PCA",2021
"436",36,33,"Linear PCA",2021
"437",37,44,"Linear PCA",2021
"438",38,34,"Linear PCA",2021
"439",39,35,"Linear PCA",2021
"440",40,35,"Linear PCA",2021
"441",41,36,"Linear PCA",2021
"442",42,21,"Linear PCA",2021
"443",43,29,"Linear PCA",2021
"444",44,29,"Linear PCA",2021
"445",45,29,"Linear PCA",2021
"446",46,26,"Linear PCA",2021
"447",47,32,"Linear PCA",2021
"448",48,30,"Linear PCA",2021
"449",49,27,"Linear PCA",2021
"450",50,24,"Linear PCA",2021
"451",51,27,"Linear PCA",2021
"452",52,21,"Linear PCA",2021
"453",53,30,"Linear PCA",2021
"454",54,35,"Linear PCA",2021
"455",55,39,"Linear PCA",2021
"456",56,30,"Linear PCA",2021
"457",57,33,"Linear PCA",2021
"458",58,35,"Linear PCA",2021
"459",59,31,"Linear PCA",2021
"460",60,22,"Linear PCA",2021
"461",61,28,"Linear PCA",2021
"462",62,34,"Linear PCA",2021
"463",63,28,"Linear PCA",2021
"464",64,28,"Linear PCA",2021
"465",65,26,"Linear PCA",2021
"466",66,30,"Linear PCA",2021
"467",67,31,"Linear PCA",2021
"468",68,28,"Linear PCA",2021
"469",69,48,"Linear PCA",2021
"470",70,23,"Linear PCA",2021
"471",71,33,"Linear PCA",2021
"472",72,28,"Linear PCA",2021
"473",73,31,"Linear PCA",2021
"474",74,26,"Linear PCA",2021
"475",75,38,"Linear PCA",2021
"476",76,26,"Linear PCA",2021
"477",77,37,"Linear PCA",2021
"478",78,48,"Linear PCA",2021
"479",79,38,"Linear PCA",2021
"480",80,26,"Linear PCA",2021
"481",81,36,"Linear PCA",2021
"482",82,43,"Linear PCA",2021
"483",83,22,"Linear PCA",2021
"484",84,26,"Linear PCA",2021
"485",85,37,"Linear PCA",2021
"486",86,29,"Linear PCA",2021
"487",87,25,"Linear PCA",2021
"488",88,24,"Linear PCA",2021
"489",89,31,"Linear PCA",2021
"490",90,28,"Linear PCA",2021
"491",91,38,"Linear PCA",2021
"492",92,35,"Linear PCA",2021
"493",93,24,"Linear PCA",2021
"494",94,32,"Linear PCA",2021
"495",95,32,"Linear PCA",2021
"496",96,35,"Linear PCA",2021
"497",97,34,"Linear PCA",2021
"498",98,32,"Linear PCA",2021
"499",99,26,"Linear PCA",2021
"500",100,28,"Linear PCA",2021
"501",1,26,"Ranger",2022
"502",2,30,"Ranger",2022
"503",3,32,"Ranger",2022
"504",4,29,"Ranger",2022
"505",5,31,"Ranger",2022
"506",6,32,"Ranger",2022
"507",7,29,"Ranger",2022
"508",8,49,"Ranger",2022
"509",9,43,"Ranger",2022
"510",10,29,"Ranger",2022
"511",11,39,"Ranger",2022
"512",12,39,"Ranger",2022
"513",13,32,"Ranger",2022
"514",14,44,"Ranger",2022
"515",15,31,"Ranger",2022
"516",16,33,"Ranger",2022
"517",17,34,"Ranger",2022
"518",18,31,"Ranger",2022
"519",19,40,"Ranger",2022
"520",20,31,"Ranger",2022
"521",21,34,"Ranger",2022
"522",22,35,"Ranger",2022
"523",23,39,"Ranger",2022
"524",24,31,"Ranger",2022
"525",25,37,"Ranger",2022
"526",26,46,"Ranger",2022
"527",27,33,"Ranger",2022
"528",28,36,"Ranger",2022
"529",29,33,"Ranger",2022
"530",30,31,"Ranger",2022
"531",31,38,"Ranger",2022
"532",32,27,"Ranger",2022
"533",33,44,"Ranger",2022
"534",34,30,"Ranger",2022
"535",35,22,"Ranger",2022
"536",36,30,"Ranger",2022
"537",37,28,"Ranger",2022
"538",38,24,"Ranger",2022
"539",39,46,"Ranger",2022
"540",40,35,"Ranger",2022
"541",41,32,"Ranger",2022
"542",42,29,"Ranger",2022
"543",43,33,"Ranger",2022
"544",44,32,"Ranger",2022
"545",45,31,"Ranger",2022
"546",46,37,"Ranger",2022
"547",47,53,"Ranger",2022
"548",48,35,"Ranger",2022
"549",49,37,"Ranger",2022
"550",50,51,"Ranger",2022
"551",51,32,"Ranger",2022
"552",52,37,"Ranger",2022
"553",53,31,"Ranger",2022
"554",54,29,"Ranger",2022
"555",55,44,"Ranger",2022
"556",56,29,"Ranger",2022
"557",57,44,"Ranger",2022
"558",58,38,"Ranger",2022
"559",59,38,"Ranger",2022
"560",60,46,"Ranger",2022
"561",61,41,"Ranger",2022
"562",62,31,"Ranger",2022
"563",63,39,"Ranger",2022
"564",64,44,"Ranger",2022
"565",65,29,"Ranger",2022
"566",66,27,"Ranger",2022
"567",67,37,"Ranger",2022
"568",68,24,"Ranger",2022
"569",69,33,"Ranger",2022
"570",70,31,"Ranger",2022
"571",71,33,"Ranger",2022
"572",72,30,"Ranger",2022
"573",73,39,"Ranger",2022
"574",74,37,"Ranger",2022
"575",75,29,"Ranger",2022
"576",76,30,"Ranger",2022
"577",77,31,"Ranger",2022
"578",78,30,"Ranger",2022
"579",79,31,"Ranger",2022
"580",80,33,"Ranger",2022
"581",81,35,"Ranger",2022
"582",82,44,"Ranger",2022
"583",83,27,"Ranger",2022
"584",84,41,"Ranger",2022
"585",85,46,"Ranger",2022
"586",86,33,"Ranger",2022
"587",87,37,"Ranger",2022
"588",88,30,"Ranger",2022
"589",89,45,"Ranger",2022
"590",90,42,"Ranger",2022
"591",91,28,"Ranger",2022
"592",92,43,"Ranger",2022
"593",93,34,"Ranger",2022
"594",94,30,"Ranger",2022
"595",95,40,"Ranger",2022
"596",96,32,"Ranger",2022
"597",97,37,"Ranger",2022
"598",98,38,"Ranger",2022
"599",99,28,"Ranger",2022
"600",100,26,"Ranger",2022
"601",1,39,"Logistic",2022
"602",2,28,"Logistic",2022
"603",3,31,"Logistic",2022
"604",4,34,"Logistic",2022
"605",5,32,"Logistic",2022
"606",6,36,"Logistic",2022
"607",7,34,"Logistic",2022
"608",8,32,"Logistic",2022
"609",9,37,"Logistic",2022
"610",10,30,"Logistic",2022
"611",11,31,"Logistic",2022
"612",12,25,"Logistic",2022
"613",13,35,"Logistic",2022
"614",14,30,"Logistic",2022
"615",15,40,"Logistic",2022
"616",16,34,"Logistic",2022
"617",17,32,"Logistic",2022
"618",18,31,"Logistic",2022
"619",19,44,"Logistic",2022
"620",20,33,"Logistic",2022
"621",21,31,"Logistic",2022
"622",22,40,"Logistic",2022
"623",23,37,"Logistic",2022
"624",24,31,"Logistic",2022
"625",25,43,"Logistic",2022
"626",26,39,"Logistic",2022
"627",27,26,"Logistic",2022
"628",28,29,"Logistic",2022
"629",29,34,"Logistic",2022
"630",30,32,"Logistic",2022
"631",31,36,"Logistic",2022
"632",32,29,"Logistic",2022
"633",33,32,"Logistic",2022
"634",34,28,"Logistic",2022
"635",35,29,"Logistic",2022
"636",36,30,"Logistic",2022
"637",37,33,"Logistic",2022
"638",38,30,"Logistic",2022
"639",39,29,"Logistic",2022
"640",40,28,"Logistic",2022
"641",41,43,"Logistic",2022
"642",42,32,"Logistic",2022
"643",43,28,"Logistic",2022
"644",44,41,"Logistic",2022
"645",45,29,"Logistic",2022
"646",46,32,"Logistic",2022
"647",47,51,"Logistic",2022
"648",48,29,"Logistic",2022
"649",49,31,"Logistic",2022
"650",50,26,"Logistic",2022
"651",51,41,"Logistic",2022
"652",52,28,"Logistic",2022
"653",53,33,"Logistic",2022
"654",54,32,"Logistic",2022
"655",55,30,"Logistic",2022
"656",56,35,"Logistic",2022
"657",57,30,"Logistic",2022
"658",58,38,"Logistic",2022
"659",59,38,"Logistic",2022
"660",60,30,"Logistic",2022
"661",61,38,"Logistic",2022
"662",62,33,"Logistic",2022
"663",63,35,"Logistic",2022
"664",64,24,"Logistic",2022
"665",65,38,"Logistic",2022
"666",66,34,"Logistic",2022
"667",67,42,"Logistic",2022
"668",68,31,"Logistic",2022
"669",69,43,"Logistic",2022
"670",70,39,"Logistic",2022
"671",71,28,"Logistic",2022
"672",72,32,"Logistic",2022
"673",73,36,"Logistic",2022
"674",74,44,"Logistic",2022
"675",75,39,"Logistic",2022
"676",76,32,"Logistic",2022
"677",77,38,"Logistic",2022
"678",78,32,"Logistic",2022
"679",79,36,"Logistic",2022
"680",80,30,"Logistic",2022
"681",81,42,"Logistic",2022
"682",82,34,"Logistic",2022
"683",83,38,"Logistic",2022
"684",84,55,"Logistic",2022
"685",85,34,"Logistic",2022
"686",86,31,"Logistic",2022
"687",87,38,"Logistic",2022
"688",88,32,"Logistic",2022
"689",89,30,"Logistic",2022
"690",90,46,"Logistic",2022
"691",91,26,"Logistic",2022
"692",92,37,"Logistic",2022
"693",93,32,"Logistic",2022
"694",94,36,"Logistic",2022
